1018.21,26.80,54.41,2019:10:19:20:43,1571485380
1018.20,26.79,54.33,2019:10:19:20:44,1571485440
1018.13,26.78,53.66,2019:10:19:20:45,1571485500
1018.25,26.79,54.16,2019:10:19:20:46,1571485560
1018.17,26.81,54.18,2019:10:19:20:47,1571485620
1018.19,26.79,53.94,2019:10:19:20:48,1571485680
1018.16,26.77,54.14,2019:10:19:20:49,1571485740
1018.23,26.78,54.10,2019:10:19:20:50,1571485800
1018.21,26.77,54.18,2019:10:19:20:51,1571485860
1018.26,26.76,54.00,2019:10:19:20:52,1571485920
1018.30,26.75,54.13,2019:10:19:20:53,1571485980
1018.33,26.77,53.95,2019:10:19:20:54,1571486040
1018.33,26.77,53.88,2019:10:19:20:55,1571486100
1018.35,26.75,54.02,2019:10:19:20:56,1571486160
1018.33,26.75,53.69,2019:10:19:20:57,1571486220
1018.35,26.75,53.74,2019:10:19:20:58,1571486280
1018.35,26.75,53.80,2019:10:19:20:59,1571486340
1018.28,26.74,53.72,2019:10:19:21:0,1571486400
1018.28,26.74,53.76,2019:10:19:21:1,1571486460
1018.29,26.78,53.75,2019:10:19:21:2,1571486520
1018.30,26.75,53.80,2019:10:19:21:3,1571486580
1018.40,26.74,53.67,2019:10:19:21:4,1571486640
1018.30,26.74,53.83,2019:10:19:21:5,1571486700
1018.42,26.74,53.64,2019:10:19:21:6,1571486760
1018.44,26.73,53.66,2019:10:19:21:7,1571486820
1018.46,26.75,53.48,2019:10:19:21:8,1571486880
1018.41,26.75,53.43,2019:10:19:21:9,1571486940
1018.47,26.75,53.54,2019:10:19:21:10,1571487000
1018.41,26.85,53.78,2019:10:19:21:11,1571487060
1018.45,26.98,53.21,2019:10:19:21:12,1571487120
1018.52,27.10,52.71,2019:10:19:21:13,1571487180
1018.49,27.20,52.36,2019:10:19:21:14,1571487240
1018.56,27.27,52.01,2019:10:19:21:15,1571487300
1018.50,27.32,51.83,2019:10:19:21:16,1571487360
1018.53,27.38,51.56,2019:10:19:21:17,1571487420
1018.50,27.43,51.58,2019:10:19:21:18,1571487480
1018.52,27.51,51.18,2019:10:19:21:19,1571487540
1018.51,27.57,51.07,2019:10:19:21:20,1571487600
1018.46,27.61,50.85,2019:10:19:21:21,1571487660
1018.55,27.67,50.71,2019:10:19:21:22,1571487720
1018.53,27.71,50.56,2019:10:19:21:23,1571487780
1018.58,27.74,50.49,2019:10:19:21:24,1571487840
1018.60,27.77,50.37,2019:10:19:21:25,1571487900
1018.56,27.78,50.17,2019:10:19:21:26,1571487960
1018.61,27.83,50.09,2019:10:19:21:27,1571488020
1018.56,27.83,49.96,2019:10:19:21:28,1571488080
1018.54,27.84,49.85,2019:10:19:21:29,1571488140
1018.55,27.84,49.82,2019:10:19:21:30,1571488200
1018.58,27.86,49.75,2019:10:19:21:31,1571488260
1018.59,27.87,49.64,2019:10:19:21:32,1571488320
1018.59,27.88,49.52,2019:10:19:21:33,1571488380
1018.55,27.88,49.54,2019:10:19:21:34,1571488440
1018.58,27.88,49.50,2019:10:19:21:35,1571488500
1018.58,27.88,49.50,2019:10:19:21:36,1571488560
1018.65,27.87,49.42,2019:10:19:21:37,1571488620
1018.64,27.88,49.37,2019:10:19:21:38,1571488680
